                                                  The MEANS Procedure

 Variable           Minimum
 --------------------------
 Ventas       15039.0000000
 --------------------------


  Obs  Id  Ventas           peso
-----  --  ------  -------------
    1   8  287643  19.1264711749
    2  11  250495  16.6563601303
    3   1  138092   9.1822594587
    4   7  121498   8.0788616264
    5  15   89754   5.9680829842
    6   6   86294   5.7380144956
    7  10   76209   5.0674246958
    8  13   65038   4.3246226478
    9   9   46343   3.0815213778
   10  14   37654   2.5037568987
   11   2   36764    2.444577432
   12  16   35486   2.3595983776
   13   4   24075   1.6008378217
   14  12   23845   1.5855442516
   15   3   21098   1.4028858302
   16   5   16435   1.0928253208
   17  17   15039              1
